#General
Order	fagales
Family	fagaceae
Lifespan	perennial
Foliage	dicidious
Structure	tree
Habit	upright
Woodiness	woody
Habitat	woodland
Location	H1 (South Kerry),H5 (East Cork),H6 (Waterford),H7 (South Tipperary),H9 (Clare),H12 (Wexford),H30 (Cavan),H33 (Fermanagh),H35 (West Donegal),H38 (Down),H40 (Londonderry)
Plant Height	4000
Crown Type	narrow,domed

#Flower (♀/⚥)
Flower Observation	none of the above
Flower Sex	monoecious
Flower Type	other inflorescence
Ovary Position	inferior,superior# TODO: Edit/choose
Flower Scent	none
Perianth Distinct	absent,petals only,sepals only,indistinct,distinct# TODO: Edit/choose
Pistil Colour1	8d171d
Stamen Colour1	#
Perianth(P) Colour1	#
Perianth(P) Colour2	#
Perianth(S) Colour1	#
Perianth(P) Hairs	#
Perianth(P) Free	#
Perianth(S) Free	#
Perianth(S) Shape	#
Perianth(S) Hairs	#
Perianth(P) Number	#
Perianth(P) Length	#
Perianth(S) Number	#
Perianth(S) Length	#
Flower Diameter	# TODO: Enter [min],max values here
Peduncle Length	# TODO: Enter [min],max values here
Pedicel Length	#
Flowers Per Cluster	1,5
Stamens	0
Stigma	3
Ovaries	1
Ovary Chambers	3
Flowering Period	april,may
Flower Peduncle	glabrous

#♂Flower
♂Flower Type	catkin
♂Stamen Colour1	FF0000,c29451
♂Perianth(P) Colour1	9c9f17,fcf98f,c29451
♂Perianth(P) Colour2	c29451
♂Perianth(S) Colour1	#
♂Flowers Per Cluster	0,999
♂Peduncle Length	2,4
♂Stamens	6,12

#Leaf
Leaf Observation	none of the above
Bud Shape	ovoid
Bud Colour1	AC650D,9a5f5d
Bud Colour2	#
Bud Texture	smooth
Leaflets	simple
Pinnate Type	#
Leaf Position	alternate
Lf(let) Shape	obovate
Lf(let) Lobed	shallowly lobed
Lf(let) Venation	pinnate
Lf(let) Margin	entire
Lf(let) Margin Decor	none
Lf(let) Tip	rounded
Lf(let) Base	auriculate,cordate
Petiole	petiolate
Stipules	absent or lost early
Stipule Shape	acicular
Lf(let) Vein Pairs	5,7
Bud Length	0.2,0.5
Leaf Ratio (L:W)	1.8,2
Leaf Length	5,12
Petiole Length	0.1,0.5
Lflets Per Lf	#
Lflet Stalk Length	#
Lflet Length	#
Lf(let) Top Appearance	glabrous,glossy
Lf(let) Underside Appearance	glabrous,dull

#Fruit
Fruit Observation	acorns
Fruit Type	nut
Fruit Shape	ovoid
Fruit Taste	nutty
Fruit Cupule	closely overlapping scales
Fruit Colour1	977e7a,935c3c,7b7d1e,973b0a
Fruit Colour2	#
Fruit Number	2,6
Fruit Diameter	1.5,4
Fruiting Period	september,october

#Seed
Seed Type	other
Seed Shape	# TODO: Edit/choose
Seed Released	no
Seed Texture	# TODO: Edit/choose
Seed Colour1	# TODO: Edit/choose
Seed Colour2	# TODO: Edit/choose
Seeds Per Fruit	# TODO: Enter [min],max values here
Seed Diameter	# TODO: Enter [min],max values here

#Stem (Trunk)
Stem Solidity	solid
Stem Form	cylindrical
Thorns	absent
Thorn Furrows	#
Stem Colour1	ebf3f5,95998a,7a6a5b,8f8170
Stem Colour2	ebf3f5,95998a
Stem Habit	1 main stem
Thorn Length	0
Stem Texture	rough,fissured

#Branches
Branching Pattern	alternate
Lower Branch Angle	perpendicular
Leaf Scar	u-shaped
Twig Colour1	806a1d,9994b4
Twig Colour2	d4b1a5
Twig Type	smooth

#Root
#Misc
Name	Quercus robur
Common Name	Oak, Padunculate Oak, English Oak
Frequency	common
Subspecies	none
Data Source(s)	David Sutton 1990, Webb 1963
Similar Plants	Quercus petraea,Q. petraea has a more elliptic leaf shape with an acute leaf base. The leaf underside is (more) hairy. The petioles are longer and generally groved and the acorns are bigger and sessile., Quercus robur x petraea, Such hybrids tends to have non sessile acorns (of Q. robur) and long petioles and hairy leaves (of Q. petraea)
Native Status	Ireland,native,Britain,native
Soil Preference	heavey fertile soil
Description	A strong and long lived tree with distinct lobed leaves and acorn fruit (borne in involucre 'cups'. Flowers before leaves.
