#Base	Simple Eng	Simple Eng TT	Sci Eng	Sci Eng TT
aff explanation	aff explanation	a1(a2)/b1(b2) where 'a' represents the number of profiles affected by the current setting of this character, while 'b' represents the maximum. 1 refers is measured against the remaining plants (if any) while 2 is measured against all plants.		
unsure	unsure	Choose this if you are not sure what value suits best. You can always come back later, if need be.	unsure	unsure
aquafoliales	Aquafoliales	Aquafoliales order		
apiales	Apiales	Apiales order		
pinales	Pinales	Pinales order		
fabales	Fabales	Fabales order		
rosales	Rosales	Rosales order		
fagales	Fagales	Fagales order		
sapindales	Sapindales	Sapindales order		
lamiales	Lamiales	Lamiales order		
myrtales	Myrtales	Myrtales order		
dipsacales	Dipsacales	Dipsacales order		
other	other	other		
fabaceae	Fabaceae	Fabaceae family		
rosaceae	Rosaceae	Rosaceae family		
fagaceae	Fagaceae	Fagaceae family		
sapindaceae	Sapindaceae	Sapindaceae family		
oleaceae	Oleaceae	Oleaceae family		
betulaceae	Betulaceae	Betulaceae family		
onagraceae	Onagraceae	Onagraceae family		
corylaceae	Corylaceae	Corylaceae family		
adoxaceae	Adoxaceae	Adoxaceae family		
annual	annual	A plant that completes its life cycle in one year.		
biennial	biennial	A plant which takes 2 years to complete its life cycle.		
perennial	perennial	A plant that lives for more than two years.		
evergreen	evergreen	Evergreen plant leaves tend to be deeper green and more leathery. They don't loose leaves in winter.		
dicidious	dicidious	Dicidious plants tend to have broad leaves which are lost in winter (some exceptions include young beech which may hold onto some leaves).		
tree	tree	A perennial woody plant, generally with many secondary branches supported clear of the ground on a single main stem (trunk) with clear apical dominance. Over 4m high and 30cm girth.		
shrub	shrub	A shrub is distinguished from a tree by its multiple stems and shorter height, usually under 5–6 m tall. Some plants may grow either into shrubs or trees, depending on their growing conditions. 		
climber	climber	A plant that uses other plants (or structures) as support to allow it to access light.		
herb	herb	A non-woody flowering plant (either grass-like or a forb). Generally less than 2m high. Here we exclude those plants that use others for climbing (i.e. climbers)		
creeping	creeping	A creeping habit, where the plant grows predominantly laterally, rather than upright.		
climbing	climbing	A climbing habit, where the plant climbs on other plants or structures in order to gain access to light.		
upright	upright	Neither climbing or creeping, the plant supports itself in a mostly upright position with respect to gravity, obstacles and sunlight.		
herbaceous	herbaceous	Green, non-woody plant stem throughout. Note that some otherwise woody plants may appear herbaceous during juvanile stages – they are still considered woody here.		
woody	woody	At least part of the plant's stem is woody or will be at maturity.		
scrub	scrub	A habitat characterised by vegetation dominated by shrubs (often including grasses, herbs and small trees). E.g. Ash-Hazel scrubland of the Burren.		
woodland	woodland	Naturally existing forests, also such species may be found in stands of trees or mixed forests planted by humans.		
hedgerows	hedgerows	A line of closely spaced shrubs and tree species, planted and trained to form a barrier or to mark the boundary of an area such as a road side. 		
thickets	thickets	A very dense stand of trees or tall shrubs, often dominated by only one or a few species, to the exclusion of others.		
